"transaction","status","__dt"
"35301","complete","2021-01-23 00:00:00.000"
"31802","complete","2021-01-19 00:00:00.000"
"58662","complete","2021-02-20 00:00:00.000"
"52888","complete","2021-02-11 00:00:00.000"
"52828","complete","2021-02-11 00:00:00.000"
"58654","complete","2021-02-19 00:00:00.000"
"40329","complete","2021-01-28 00:00:00.000"
"36167","complete","2021-01-24 00:00:00.000"
"36168","complete","2021-01-24 00:00:00.000"
"25915","complete","2021-01-11 00:00:00.000"
"38356","complete","2021-01-26 00:00:00.000"
"52106","complete","2021-02-10 00:00:00.000"
"58649","complete","2021-02-19 00:00:00.000"
"26418","complete","2021-01-11 00:00:00.000"
"31041","complete","2021-01-18 00:00:00.000"
"36371","complete","2021-01-24 00:00:00.000"
"58256","complete","2021-02-17 00:00:00.000"
"39488","complete","2021-01-28 00:00:00.000"
"46568","complete","2021-02-03 00:00:00.000"
"33023","complete","2021-01-20 00:00:00.000"
"53033","complete","2021-02-11 00:00:00.000"
"53308","complete","2021-02-11 00:00:00.000"
"35796","complete","2021-01-23 00:00:00.000"
"39225","complete","2021-01-27 00:00:00.000"
"27693","complete","2021-01-14 00:00:00.000"
"52517","complete","2021-02-10 00:00:00.000"
"33027","complete","2021-01-20 00:00:00.000"
"52349","complete","2021-02-10 00:00:00.000"
"52407","complete","2021-02-10 00:00:00.000"
"39266","complete","2021-01-27 00:00:00.000"
"35620","complete","2021-01-23 00:00:00.000"
"58644","complete","2021-02-19 00:00:00.000"
"39840","complete","2021-01-28 00:00:00.000"
"58658","complete","2021-02-20 00:00:00.000"
"52178","complete","2021-02-10 00:00:00.000"
"58176","complete","2021-02-17 00:00:00.000"
"52813","complete","2021-02-11 00:00:00.000"
"58648","complete","2021-02-19 00:00:00.000"
"25166","complete","2021-01-11 00:00:00.000"
"55783","complete","2021-02-14 00:00:00.000"
"39319","complete","2021-01-27 00:00:00.000"
"39320","complete","2021-01-27 00:00:00.000"
"33011","complete","2021-01-20 00:00:00.000"
"39137","complete","2021-01-27 00:00:00.000"
"26094","complete","2021-01-11 00:00:00.000"
"35238","complete","2021-01-23 00:00:00.000"
"35074","complete","2021-01-23 00:00:00.000"
"36165","complete","2021-01-24 00:00:00.000"
"35775","complete","2021-01-23 00:00:00.000"
"35004","complete","2021-01-23 00:00:00.000"
"52123","complete","2021-02-10 00:00:00.000"
"58161","complete","2021-02-17 00:00:00.000"
"40171","complete","2021-01-28 00:00:00.000"
"39121","complete","2021-01-27 00:00:00.000"
"52519","complete","2021-02-10 00:00:00.000"
"52271","complete","2021-02-10 00:00:00.000"
"32999","complete","2021-01-20 00:00:00.000"
"40122","complete","2021-01-28 00:00:00.000"
"53471","complete","2021-02-11 00:00:00.000"
"34668","complete","2021-01-23 00:00:00.000"
"40092","complete","2021-01-28 00:00:00.000"
"36368","complete","2021-01-24 00:00:00.000"
"35795","complete","2021-01-23 00:00:00.000"
"27700","complete","2021-01-14 00:00:00.000"
"39224","complete","2021-01-27 00:00:00.000"
"35903","complete","2021-01-24 00:00:00.000"
"39480","complete","2021-01-28 00:00:00.000"
"39136","complete","2021-01-27 00:00:00.000"
"52446","complete","2021-02-10 00:00:00.000"
"35235","complete","2021-01-23 00:00:00.000"
"52133","complete","2021-02-10 00:00:00.000"
"36949","complete","2021-01-24 00:00:00.000"
"33022","complete","2021-01-20 00:00:00.000"
"39565","complete","2021-01-28 00:00:00.000"
"38354","complete","2021-01-26 00:00:00.000"
"25154","complete","2021-01-11 00:00:00.000"
"40372","complete","2021-01-28 00:00:00.000"
"46263","complete","2021-02-03 00:00:00.000"
"31439","complete","2021-01-18 00:00:00.000"
"53741","complete","2021-02-11 00:00:00.000"
"46310","complete","2021-02-03 00:00:00.000"
"38047","complete","2021-01-26 00:00:00.000"
"52431","complete","2021-02-10 00:00:00.000"
"36152","complete","2021-01-24 00:00:00.000"
"39004","complete","2021-01-27 00:00:00.000"
"52354","complete","2021-02-10 00:00:00.000"
"26439","complete","2021-01-11 00:00:00.000"
"58069","complete","2021-02-17 00:00:00.000"
"32478","complete","2021-01-20 00:00:00.000"
"25880","complete","2021-01-11 00:00:00.000"
"53081","complete","2021-02-11 00:00:00.000"
"52936","complete","2021-02-11 00:00:00.000"
"39107","complete","2021-01-27 00:00:00.000"
"32528","complete","2021-01-20 00:00:00.000"
"38158","complete","2021-01-26 00:00:00.000"
"52939","complete","2021-02-11 00:00:00.000"
"52070","complete","2021-02-10 00:00:00.000"
"25793","complete","2021-01-11 00:00:00.000"
"36912","complete","2021-01-24 00:00:00.000"
"39411","complete","2021-01-27 00:00:00.000"
"35365","complete","2021-01-23 00:00:00.000"
"52132","complete","2021-02-10 00:00:00.000"
"52170","complete","2021-02-10 00:00:00.000"
"55749","complete","2021-02-14 00:00:00.000"
"35236","complete","2021-01-23 00:00:00.000"
"52395","complete","2021-02-10 00:00:00.000"
"39142","complete","2021-01-27 00:00:00.000"
"40247","complete","2021-01-28 00:00:00.000"
"33000","complete","2021-01-20 00:00:00.000"
"39663","complete","2021-01-28 00:00:00.000"
"33033","complete","2021-01-20 00:00:00.000"
"31134","complete","2021-01-18 00:00:00.000"
"39145","complete","2021-01-27 00:00:00.000"
"52272","complete","2021-02-10 00:00:00.000"
"26100","complete","2021-01-11 00:00:00.000"
"46414","complete","2021-02-03 00:00:00.000"
"58643","complete","2021-02-19 00:00:00.000"
"25978","complete","2021-01-11 00:00:00.000"
"52401","complete","2021-02-10 00:00:00.000"
"25553","complete","2021-01-11 00:00:00.000"
"34940","complete","2021-01-23 00:00:00.000"
"39129","complete","2021-01-27 00:00:00.000"
"35308","complete","2021-01-23 00:00:00.000"
"52290","complete","2021-02-10 00:00:00.000"
"35793","complete","2021-01-23 00:00:00.000"
"40428","complete","2021-01-28 00:00:00.000"
"58403","complete","2021-02-17 00:00:00.000"
"39890","complete","2021-01-28 00:00:00.000"
"52871","complete","2021-02-11 00:00:00.000"
"34627","complete","2021-01-23 00:00:00.000"
"39564","complete","2021-01-28 00:00:00.000"
"25554","complete","2021-01-11 00:00:00.000"
"58187","complete","2021-02-17 00:00:00.000"
"31674","complete","2021-01-18 00:00:00.000"
"36660","complete","2021-01-24 00:00:00.000"
"25178","complete","2021-01-11 00:00:00.000"
"52838","complete","2021-02-11 00:00:00.000"
"34669","complete","2021-01-23 00:00:00.000"
"40383","complete","2021-01-28 00:00:00.000"
"39506","complete","2021-01-28 00:00:00.000"
"34667","complete","2021-01-23 00:00:00.000"
"52069","complete","2021-02-10 00:00:00.000"
"58641","complete","2021-02-19 00:00:00.000"
"52922","complete","2021-02-11 00:00:00.000"
"52211","complete","2021-02-10 00:00:00.000"
"34803","complete","2021-01-23 00:00:00.000"
"32895","complete","2021-01-20 00:00:00.000"
"36055","complete","2021-01-24 00:00:00.000"
"58650","complete","2021-02-19 00:00:00.000"
"36304","complete","2021-01-24 00:00:00.000"
"39703","complete","2021-01-28 00:00:00.000"
"39781","complete","2021-01-28 00:00:00.000"
"40113","complete","2021-01-28 00:00:00.000"
"27795","complete","2021-01-14 00:00:00.000"
"39267","complete","2021-01-27 00:00:00.000"
"58659","complete","2021-02-20 00:00:00.000"
"38381","complete","2021-01-26 00:00:00.000"
"46586","complete","2021-02-03 00:00:00.000"
"36923","complete","2021-01-24 00:00:00.000"
"52131","complete","2021-02-10 00:00:00.000"
"33026","complete","2021-01-20 00:00:00.000"
"39511","complete","2021-01-28 00:00:00.000"
"25430","complete","2021-01-11 00:00:00.000"
"38457","complete","2021-01-26 00:00:00.000"
"55782","complete","2021-02-14 00:00:00.000"
"40335","complete","2021-01-28 00:00:00.000"
"53558","complete","2021-02-11 00:00:00.000"
"52396","complete","2021-02-10 00:00:00.000"
"36837","complete","2021-01-24 00:00:00.000"
"58402","complete","2021-02-17 00:00:00.000"
"53080","complete","2021-02-11 00:00:00.000"
"36865","complete","2021-01-24 00:00:00.000"
"52137","complete","2021-02-10 00:00:00.000"
"36038","complete","2021-01-24 00:00:00.000"
"39854","complete","2021-01-28 00:00:00.000"
"40381","complete","2021-01-28 00:00:00.000"
