"id","terminal_id","tokens","cash","created_at","signature","__dt"
"36827","2","40.0","40.00","1611482203","936d8ff62198f163957e77d92cdfc658042a272a770607267be0f646df4b1ac9","2021-01-24 00:00:00.000"
"67228","15","20.0","20.00","1615420326","0a794ad562c6526be60a39c1bda3a4f8051bcbf3686965bfd3ed680520f28f1e","2021-03-10 00:00:00.000"
"35620","19","7.0","7.00","1611396649","5332c0b1945808a0d075ac9423126c50d092f6b2c36a36a31f6dea130aa5d711","2021-01-23 00:00:00.000"
"43260","19","20.0","20.00","1612073878","15ab054f56448f51fdfe2f682bb988abbae72250d92ad3eff2e043645ca7ef18","2021-01-31 00:00:00.000"
"33024","9","40.0","40.00","1611149609","4a747e8df5d7a5a4430e4185e921d5b1424d84e07f281514c9dd7a740c14de42","2021-01-20 00:00:00.000"
"36949","7","20.0","20.00","1611486360","c978824f54a8fdcb481dce299ec0629dcba444f744b93c9215dd330a23371b62","2021-01-24 00:00:00.000"
"61779","4","2.0","2.00","1614155458","5c389c2e3bf2262377a8c2e910a9606dc44caf8a4c3389db61dfd12cc27ddc7f","2021-02-24 00:00:00.000"
"58611","19","10.0","10.00","1613607042","0fe86558aaa4f0d92d824ce5aa27799b662cf03fd0c647877f1afaac83727ce1","2021-02-18 00:00:00.000"
"34668","14","10.0","10.00","1611368713","ad470e95e19ca19ad23b183cb7b8402037446cf6113e319eba1e086c5133e43f","2021-01-23 00:00:00.000"
"61668","8","33.0","32.00","1614137986","ac50a8dd4dfbe490870b153a9aec90b464df6105b24157388bdfb3b5e7a621e4","2021-02-24 00:00:00.000"
"35901","9","10.0","10.00","1611452635","40fa43a28c9cb39035722acad616cf8be78500c8936487815b783ebbe637483d","2021-01-24 00:00:00.000"
"32999","9","40.0","40.00","1611141545","1690a32d49093a03f5aa0e4ad044485699e603d1bc2d61e01b7576772894e5cf","2021-01-20 00:00:00.000"
"51906","7","1.0","1.00","1612872070","e8ad159d6e74191b1272d5ca827a660d2d8a310afa98763e16cf6d1b21d42608","2021-02-09 00:00:00.000"
"61738","5","1.0","1.00","1614149875","bd28dbc9681dce5546f3de36d4ebe5bab151b025d9f695cbf5ba97a6fa650eae","2021-02-24 00:00:00.000"
"42799","19","6.0","6.00","1612063644","a16f00a5448ba9c80a5844e3e909bbaa77109205dc66a17d187fb25ca811d9ed","2021-01-31 00:00:00.000"
"64345","14","51.0","50.00","1614764923","02944e05457acdc7e478da13c12f2722477720f35f991839c8be5f6a35824f4a","2021-03-03 00:00:00.000"
"64422","14","12.0","12.00","1614775167","834f7de418a93a93e162f6c3403c32ede8dea89a173dcda240e707f8a1fd6f5b","2021-03-03 00:00:00.000"
"44160","16","40.0","40.00","1612104884","ca356549fea778f5e08b58f5682c0a6f5b8990da98a22e99b7f1c6b4b3ed4d0c","2021-01-31 00:00:00.000"
"42707","3","8.0","8.00","1612059772","11b8de7ce892c019834d24b4c3415385f15b23ed69ed11cea7d641d8d60b26c6","2021-01-31 00:00:00.000"
"56764","19","20.0","20.00","1613351311","d314c9edb0ca330edb987643dd496c3b83345c1097ed41cd69bcfe6cbcb6ad75","2021-02-15 00:00:00.000"
"33011","4","40.0","40.00","1611143007","af2755b87a330fb873456cd85147718eb44c52c944d74deb37f88df79e97310c","2021-01-20 00:00:00.000"
"1","1","14.0",,,"testtxn","2021-02-24 00:00:00.000"
"60783","2","6.0","6.00","1613956737","b0e336b1a7ab0fa016f75e7ce4c9670191204ce2bbf84b224840f0cb1c1c20e4","2021-02-22 00:00:00.000"
"51905","7","10.0","10.00","1612872028","7e11659fc666a6c4c873069eee8b681b12ea647aab1682fee040efc2f765c1a0","2021-02-09 00:00:00.000"
