"terminal","wifi_rssi","__dt"
"sparrow_16","-85","2021-03-07 00:00:00.000"
"sparrow_16","-82","2021-03-05 00:00:00.000"
"sparrow_16","-85","2021-03-09 00:00:00.000"
"sparrow_6","-50","2021-03-03 00:00:00.000"
"sparrow_2","-58","2021-03-10 00:00:00.000"
"sparrow_13","-75","2021-03-05 00:00:00.000"
"sparrow_1","-49","2021-03-03 00:00:00.000"
"sparrow_10","-68","2021-03-05 00:00:00.000"
"sparrow_16","-84","2021-03-09 00:00:00.000"
"sparrow_16","-84","2021-03-09 00:00:00.000"
"sparrow_4","-52","2021-03-03 00:00:00.000"
"sparrow_7","-51","2021-03-07 00:00:00.000"
"sparrow_10","-60","2021-03-07 00:00:00.000"
"sparrow_17","-37","2021-03-05 00:00:00.000"
"sparrow_17","-55","2021-03-07 00:00:00.000"
"sparrow_16","-85","2021-03-09 00:00:00.000"
"sparrow_13","-74","2021-03-05 00:00:00.000"
"sparrow_13","-74","2021-03-05 00:00:00.000"
"sparrow_13","-75","2021-03-05 00:00:00.000"
"sparrow_8","-51","2021-03-09 00:00:00.000"
"sparrow_7","-51","2021-03-11 00:00:00.000"
"sparrow_16","-84","2021-03-05 00:00:00.000"
"sparrow_16","-86","2021-03-05 00:00:00.000"
"sparrow_16","-83","2021-03-09 00:00:00.000"
"sparrow_7","-51","2021-03-09 00:00:00.000"
"sparrow_16","-82","2021-03-09 00:00:00.000"
"sparrow_2","-59","2021-03-09 00:00:00.000"
"sparrow_16","-84","2021-03-09 00:00:00.000"
"sparrow_19","-73","2021-03-03 00:00:00.000"
"sparrow_16","-87","2021-03-09 00:00:00.000"
"sparrow_2","-57","2021-03-09 00:00:00.000"
"sparrow_8","-49","2021-03-09 00:00:00.000"
"sparrow_4","-53","2021-03-07 00:00:00.000"
"sparrow_16","-80","2021-03-10 00:00:00.000"
"sparrow_16","-81","2021-03-05 00:00:00.000"
"sparrow_3","-54","2021-03-05 00:00:00.000"
"sparrow_16","-82","2021-03-05 00:00:00.000"
"sparrow_16","-83","2021-03-09 00:00:00.000"
"sparrow_16","-84","2021-03-09 00:00:00.000"
"sparrow_10","-61","2021-03-10 00:00:00.000"
"sparrow_3","-52","2021-03-09 00:00:00.000"
"sparrow_11","-67","2021-03-03 00:00:00.000"
"sparrow_13","-74","2021-03-07 00:00:00.000"
"sparrow_16","-84","2021-03-05 00:00:00.000"
"sparrow_16","-85","2021-03-09 00:00:00.000"
"sparrow_11","-68","2021-03-09 00:00:00.000"
"sparrow_12","-51","2021-03-03 00:00:00.000"
"sparrow_16","-82","2021-03-07 00:00:00.000"
"sparrow_17","-38","2021-03-10 00:00:00.000"
"sparrow_18","-57","2021-03-07 00:00:00.000"
"sparrow_16","-82","2021-03-03 00:00:00.000"
